SR,DEW,TEM,TEM_MAX,TEM_MIN,WS_MAX,WS_MIN,WS,RH,RF
21.64,22.32,8.45,30.35,21.9,1.49,0.4,1.09,82.25,12.06
19.37,22.86,6.61,29.3,22.7,2.08,0.2,1.88,84.56,9.17
19.37,22.44,7.16,29.62,22.45,2.11,0.48,1.62,84.75,4.67
20.1,21.35,6.48,28.2,21.73,2.73,1.45,1.27,84.44,0.64
17.05,21.17,7.69,28.6,20.91,2.74,1.53,1.21,83.62,0.29
20.87,21.5,8.18,28.85,20.66,2.83,1.4,1.43,85.44,0.91
12.64,22.16,6.76,28.54,21.78,2.68,1.34,1.34,87.69,5.08
10.74,23.49,3.94,26.63,22.69,1.84,1.16,0.69,94.31,15.35
18.73,23.04,7.05,29.47,22.42,2.04,0.97,1.07,87.44,1.59
16.36,22.66,7.56,29.94,22.37,1.52,0.22,1.3,84.56,1.3
16.91,22.18,6.95,28.55,21.6,2.2,0.96,1.23,85.25,4.68
16.15,22.04,5.15,28.09,22.94,1.51,0.2,1.31,81.69,1.33
17.45,23.22,6.02,29.77,23.76,0.98,0.34,0.64,83.5,5.78
11.93,23.63,5.8,29.41,23.62,1.54,0.28,1.26,86.19,4.1
17.47,23.42,5.55,28.97,23.41,2.23,0.89,1.35,88.12,5.97
14.84,22.75,5.9,28.55,22.65,2.54,0.91,1.62,86.69,1.11
9.71,22.66,5.49,27.98,22.48,1.88,0.55,1.34,88.38,2.51
10.95,22.84,4.54,27.33,22.79,1.88,0.52,1.36,89.88,3.49
12.01,23.19,6.03,28.65,22.62,1.74,0.08,1.66,88.75,21.71
15.28,23.35,5.5,28.8,23.3,1.46,0.11,1.35,87.25,19.46
9.68,23.26,3.74,26.72,22.98,1.88,0.48,1.4,91.19,39.64
17.15,23.61,3.83,28.06,24.24,1.69,0.07,1.62,88.94,9.13
18.34,22.23,6.42,29.15,22.73,1.52,0.15,1.38,81.69,1.46
16.81,22.14,5.23,28.61,23.37,0.96,0.2,0.77,81.25,5.35
15.82,23.7,4.02,27.9,23.87,1.38,0.8,0.58,89.88,13.47
20.42,23.02,6.3,29.13,22.83,1.72,0.31,1.41,87,13.71
10.28,22.28,5.84,28.26,22.42,1.87,0.13,1.73,85.12,20.92
10.57,22.03,4.56,27.13,22.57,1.46,0.35,1.1,86.81,18.61
12.39,21.58,6.2,27.74,21.54,1.71,0.55,1.15,86.19,4.37
11.51,20.88,3.51,25.11,21.6,2.03,1.08,0.96,88.31,1.2
18.79,21.15,5.09,26.27,21.18,1.77,0.33,1.44,87.06,1.91
19.89,22.21,4.41,27.25,22.84,1.02,0.35,0.66,85.25,2.1
21.1,22.76,7.01,29.85,22.84,1.27,0.33,0.94,83.5,3.47
20.94,22.72,7.47,29.84,22.37,1.61,0.09,1.52,83.19,4.92
17.26,22.59,7.37,29.67,22.3,1.56,0.52,1.04,84.19,8.6
17.29,22.81,7.15,29.65,22.5,1.42,0.67,0.75,85.38,17.66
15.19,23.18,5.75,28.77,23.01,1.51,0.26,1.24,86.88,15.87
16.46,23.2,5.99,29.26,23.27,1.48,0.71,0.77,86.44,10.42
16.3,23.32,6.57,29.58,23.01,1.51,0.66,0.84,86.31,7.97
17.54,23.37,4.88,28.04,23.15,1.54,1,0.55,89.69,19.7
18.21,22.99,7.04,29.88,22.84,1.08,0.18,0.9,83.69,4.02
17.15,23.05,6.59,29.2,22.62,1.88,0.55,1.33,85.88,4.07
16.07,23.72,5.26,29.07,23.81,1.66,0.05,1.6,87.94,9.36
13.77,22.95,4.38,27.97,23.59,1.61,0.27,1.33,86.06,5.86
19.15,23.12,3.73,27.58,23.85,1,0.16,0.84,86.81,3.42
20.39,23.5,7.02,30.61,23.58,1.16,0.12,1.04,83.69,4.86
20.13,23.51,5.12,29.24,24.12,1.79,0.36,1.43,85.56,3.87
23.16,22.62,7.66,30.34,22.68,1.45,0.28,1.16,81.19,0.61
22.04,23.12,7.16,30.16,23.01,2.26,0.1,2.16,84.44,2.74
22.71,21.97,7.9,29.8,21.9,2.03,1.13,0.89,83.12,0.69
23.47,21.58,8.41,29.37,20.97,2.73,0.99,1.73,83.56,0.66
23.67,20.81,8.18,28.9,20.72,2.48,1.36,1.12,82.19,0.08
22.25,20.21,8.73,28.83,20.09,2.75,1.28,1.47,80.69,0
22.13,20.43,8.84,29.44,20.59,1.93,0.75,1.17,78.88,0.03
23.71,20.81,8.84,29.58,20.74,2.06,1.02,1.05,80,0.04
23.13,20.63,10.17,29.94,19.76,2.09,0.16,1.95,79.31,0.01
23.6,20.64,10.13,29.91,19.78,2.2,1.12,1.09,80.19,0.03
23.4,19.58,10.52,29.41,18.9,2.31,1.06,1.26,78.75,0.02
23.68,20.86,8.59,28.79,20.2,2.77,1.29,1.48,83,0.07
22.52,21.21,9.55,29.67,20.12,2.06,0.39,1.66,81.38,0.08
19.91,22.06,7.07,29.69,22.62,1.82,0.75,1.07,81.25,0.5
22.9,21.7,8.94,30.53,21.59,1.57,0.05,1.52,78.69,0.04
24.25,22.45,8.17,30.58,22.41,1.45,0.9,0.55,80.62,0.2
24.51,22.56,7.65,31.06,23.41,1.21,0.77,0.45,79.5,0.57
24.07,21.94,8.91,30.84,21.94,1.53,0.15,1.38,78.5,0.61
22.67,22.01,9.38,30.92,21.54,1.23,0.42,0.82,78.69,1.59
20.09,22.85,6.12,29.01,22.88,2.25,0.23,2.02,84,9.26
20.77,23.1,5.92,29.55,23.62,1.37,0.16,1.2,83.88,7.22
17.98,23.06,5.95,29.47,23.52,1.26,0.08,1.18,82.25,11.06
16.15,23.24,6.39,29.74,23.36,1.5,0.36,1.14,84.81,39.7
20.12,23.33,7.05,30.18,23.12,1.94,0.12,1.82,85.06,18.37
23.43,22.19,8.59,30.48,21.89,2.3,0.84,1.46,81.06,0.45
23.74,21.67,8.34,29.98,21.64,2.22,0.79,1.43,80.44,0.27
23.31,21.92,9.27,31.08,21.81,2.07,0.19,1.88,78.69,0.1
21.72,22.43,9.03,31.33,22.3,1.66,0.45,1.2,78.75,0.05
21.4,22.73,9.45,31.69,22.23,1.52,0.57,0.95,79.69,0.54
21.16,23.35,7.95,31.26,23.31,1.45,0.18,1.27,81.12,0.41
16.62,23.84,4.81,29.63,24.82,1.04,0.21,0.83,84.06,1.73
22.67,23.63,6.54,30.96,24.42,1.41,0.36,1.05,82.06,1.27
23.82,22.6,8.96,31.9,22.94,1.66,0.22,1.44,76.81,0.31
20.1,23.69,5.91,30.48,24.58,1.38,0.09,1.3,82.19,4.87
19.31,23.41,6.65,30.13,23.48,1.36,0.42,0.94,83.81,14.98
24.67,23.02,7.29,31.16,23.87,1.74,0.26,1.48,80.38,6.16
22.94,22.37,9.02,30.85,21.83,2.01,0.73,1.28,80.56,3.96
22.34,22.44,7.52,30.47,22.94,2.92,1.21,1.72,82,1.14
18.94,21.58,8.91,30.41,21.51,2.13,0.85,1.28,80.25,0.29
22.71,21.98,9.7,30.84,21.15,2.09,0.71,1.38,80.62,0.08
23.5,22.08,9.37,31.36,21.99,2,0.27,1.73,77.81,0.06
23.65,22.99,8.62,31.45,22.83,1.37,0.57,0.8,79.5,1.45
17.85,24.01,3.94,29.18,25.24,1.9,0.4,1.5,84.75,5.17
19.7,23.38,6.13,30.98,24.85,1.32,0.02,1.3,79.25,4.95
23.33,23.23,6.72,31.44,24.71,1.18,0.01,1.17,77.31,4.16
21.63,23.62,6.95,31.23,24.28,0.98,0.06,0.91,79.38,3.28
22.18,23.84,6.69,30.93,24.24,1.6,0.16,1.45,81.88,1.61
22.9,23.57,7.37,31.51,24.14,1.68,0.84,0.84,81,1.9
23.57,22.19,8.32,31.43,23.11,1.55,0.49,1.05,76.75,0.61
23.75,21.99,9.92,32.12,22.2,1.55,0.32,1.23,75.62,1.26
20.36,22.51,8.44,31.42,22.98,1.51,0.09,1.42,78.25,8.82
20.14,23.05,7.54,30.7,23.16,1.42,0.49,0.93,81.12,10.37
20.68,22.56,8.2,31.58,23.38,1.42,0.23,1.19,77.06,1.33
20.72,22.64,7.98,31.36,23.37,1.49,0.09,1.41,77.56,5.33
21.76,22.45,8.28,31.11,22.83,1.48,0.08,1.4,78.81,2.86
17.91,23.24,5.89,29.97,24.08,1.7,0.3,1.4,82.06,3.35
22.08,23.33,4.09,28.84,24.76,1.63,0.12,1.51,82.88,2.65
23.11,23.5,5.09,29.87,24.79,1.33,0.35,0.97,81.94,2.6
21.11,23.72,5.17,29.15,23.98,1.99,0.67,1.33,86,4.77
17.42,22.8,8.17,31.15,22.98,1.67,0.52,1.15,80.94,19.37
20.86,23.26,5.84,30.01,24.18,1.43,0.38,1.05,82.12,2.37
19.1,23.5,3.05,27.33,24.26,1.34,0.66,0.68,88,3.11
14.23,23.64,5.76,30.3,24.55,1.66,0.23,1.43,83.12,10.64
19.1,22.3,4.01,28.3,24.3,1.18,0.13,1.05,79.12,4.16
20.52,22.67,8.25,31.59,23.34,1.52,0.14,1.37,77.44,1.84
21.69,22.45,8.82,31.73,22.9,1.82,0.15,1.68,78.56,2.48
20.11,22.47,7.83,30.1,22.27,2.5,1.04,1.47,83.12,1.58
22.94,22.94,7.75,30.48,22.73,1.92,0.48,1.44,82.56,2.28
15.48,23.71,7.84,31.13,23.29,1.59,0.33,1.27,82.75,17.89
19.33,24.24,5.97,31.14,25.17,1.06,0.2,0.87,82.31,8.42
21.64,24.16,6.39,31.69,25.3,1.08,0.45,0.62,79.94,1.34
21.78,24.15,7.09,32.21,25.12,0.66,0.12,0.54,78.44,0.89
13.92,23.9,4.37,30.03,25.66,1.47,0.12,1.34,81.12,9.09
20.85,23.89,5.88,31.08,25.2,1.22,0.06,1.16,80.12,1.49
18.84,23.67,6.73,30.75,24.01,1.24,0.76,0.49,81.81,4.03
19.91,23.78,6.97,31.44,24.47,1.23,0.44,0.79,80.5,2.07
20.82,23.32,8.02,32.09,24.08,1.16,0.09,1.06,77.69,3.67
17.4,23.8,7.01,31.43,24.42,1.53,0.4,1.13,81.69,6.94
22.69,23.1,4.65,29.3,24.65,1.66,0.14,1.52,81.12,7.4
19.5,23.78,6.8,31.44,24.64,1.22,0.1,1.12,80.38,6.67
21.13,23.75,7.3,31.66,24.37,1.2,0.23,0.97,80,1.27
21.62,23.37,6.92,31.45,24.52,1.32,0.7,0.62,78.56,1.11
11.8,24.33,5.02,29.86,24.84,1.76,0.67,1.09,86.44,4.19
21.2,24.15,5.1,30.03,24.93,1.62,0.7,0.92,85.06,7.7
16.51,24.21,2.63,27.74,25.11,1.12,0.65,0.47,89.12,5.98
19.11,23.77,3.63,28.12,24.49,1.22,0.5,0.72,86.81,0.66
21.59,24.36,4.97,30.22,25.26,1.52,0.4,1.12,82.5,0.6
18.83,24.57,3.59,29.48,25.89,1.11,0.36,0.74,83.94,7.45
10.89,24.62,3.06,28.74,25.67,1.23,0.23,1.01,87.56,11.09
19.76,24.26,2.3,27.22,24.91,1.8,0.48,1.32,90.12,12.84
20.63,23.84,5.52,30.37,24.85,1.2,0.45,0.74,83.12,13.64
23.68,24.21,6.37,31.34,24.98,1.68,0.16,1.52,83.19,9.17
23.11,23.98,4.45,29.55,25.11,1.11,0.16,0.95,82.75,12.4
20.21,23.72,5.88,31.39,25.51,1.27,0.03,1.23,78.5,2.13
18.26,24.58,4.69,30.01,25.33,2.06,0.57,1.49,86.25,9.77
18.03,23.93,3.7,28.97,25.28,1.58,0.8,0.77,85.25,8.63
22.65,23.49,6.07,29.77,23.71,1.7,0.34,1.37,83.19,6.78
15.32,24.32,3.19,28.74,25.55,1.2,0.12,1.07,86.19,12.07
20.81,24.11,5.46,30.69,25.23,1.38,0.25,1.13,82.88,2.11
20.9,24.08,4.9,30.25,25.35,1.23,0.2,1.03,82.94,8.65
19.97,23.82,6.61,31.69,25.08,1.89,0.06,1.84,80.12,2.85
14.34,24.19,2.43,27.63,25.2,0.98,0.12,0.87,88.56,32.47
18.85,23.83,4.7,29.91,25.21,1.17,0.09,1.07,81.81,1.34
16.19,24.47,3.02,28.3,25.27,1.37,0.72,0.65,88.88,17.2
16.74,24.3,3.63,28.73,25.1,1.03,0.66,0.38,86.75,2.87
18.08,24.54,3.13,28.58,25.44,1.7,0.35,1.34,89.19,23.49
15.71,24.41,2.12,27.07,24.94,1.63,0.84,0.79,92.19,16.26
19.06,23.8,5.2,29.73,24.55,1.65,0.65,1,85.06,7.15
20.41,23.85,5.81,30.96,25.15,1.08,0.24,0.84,80.81,5.55
15.4,24.19,5.69,31.08,25.4,1.64,0.06,1.59,83,1.86
17.55,24.88,2.59,27.94,25.34,1.04,0.53,0.52,90.88,25.65
18.27,24.74,3.4,28.51,25.12,1.15,0.38,0.77,90.5,15.48
14.59,24.34,3.17,27.83,24.66,1.62,0.38,1.25,90.81,15.1
19.65,24.05,6.25,30.48,24.23,1.27,0.32,0.95,83.69,6.26
12.37,24.96,3.12,28.09,24.98,1.93,0.65,1.29,92.38,47.66
18.81,24.2,6.64,30.79,24.15,1.63,0.88,0.76,85.75,3.73
18.95,23.9,5.86,30.65,24.79,1.32,0.36,0.95,81.69,8.55
16.28,24.45,1.98,27.14,25.15,2.32,0.62,1.7,91.19,39.21
19.14,23.35,4.23,28.86,24.62,1.34,0.1,1.23,83.19,4.38
14.88,22.78,2.65,25.73,23.08,1.71,0.52,1.2,90,8.29
14.45,22.72,3.63,26.93,23.29,1.4,0.83,0.57,87.62,5.03
17.71,22.93,6.7,30.77,24.08,1.36,0.07,1.29,79.06,0.58
20.97,24.07,4.48,29.38,24.9,1.18,0.85,0.33,84.69,0.36
19.1,23.05,5.52,30.71,25.19,1.25,0.2,1.05,77.31,0.06
22.43,23.51,5.66,30.83,25.16,1.37,0.2,1.18,78.56,0.65
18.86,24.22,4.7,30.01,25.31,1.05,0.12,0.93,83,0.65
20.49,24.44,4.72,30.12,25.4,1.14,0.7,0.45,84.25,2.16
17.14,23.99,3.34,28.65,25.31,1.41,0.7,0.7,84.12,2.13
21.88,23.65,4.12,29.4,25.27,1.73,0.4,1.33,81.94,0.7
18.79,23.99,4.74,29.65,24.91,1.48,0.77,0.71,82.75,0.37
15.65,24.23,4.73,29.79,25.05,1.91,1.01,0.91,83.5,0.27
16.43,23.96,4.91,29.72,24.8,1.55,0.82,0.73,81.88,0.09
16.03,23.81,4.05,29.7,25.65,1.7,0.12,1.59,80.94,0.89
19.95,24.21,5.58,29.97,24.38,1.76,1.07,0.69,86.19,0.49
17.89,24.25,5.48,29.99,24.51,1.73,0.8,0.93,85.69,2.07
18.08,23.79,5.3,29.87,24.57,1.3,0.64,0.66,84.19,10.9
17.21,22.93,5.13,29.62,24.48,1.55,0.44,1.12,80.38,18.51
9.37,22.76,3.63,28.05,24.41,1.15,0.48,0.67,81.94,10.37
11.12,23.01,4.75,28.15,23.4,1.47,0.44,1.03,85.25,8.86
20.86,22.94,4.77,29.01,24.25,1.11,0.54,0.57,80.94,2.52
17.01,23.82,3.83,28.56,24.73,1.36,0.8,0.56,86.81,3.72
21.91,23.7,5.26,29.91,24.65,1.49,0.47,1.02,83.38,2.54
16.7,23.42,2.45,27.03,24.58,1.18,0.7,0.48,87.62,6.6
16.68,23.05,4.86,28.41,23.55,1.52,0.83,0.69,85.25,1.97
13.31,23.01,4.2,28.19,23.99,2.04,0.09,1.95,85.44,8.42
19.21,22.48,4.3,27.82,23.51,1.58,0.62,0.95,83.56,3.87
12.89,21.81,4.75,28.52,23.77,0.94,0.25,0.69,77.19,1.69
21.89,23.01,5.12,29.43,24.31,1.34,0.39,0.95,81.44,4
12.7,22.9,3.17,27.06,23.89,1.1,0.75,0.36,86,9.62
23.42,23.28,7.02,29.95,22.94,1.87,1.12,0.74,85,3.49
15.22,23.31,5.3,29.54,24.24,1.5,0.83,0.67,84.06,4.71
13.68,23.12,3.48,27.58,24.09,1.54,0.65,0.89,87.44,2.78
18.5,22.99,5.09,28.53,23.44,1.33,0.85,0.48,85.19,3.68
22.46,23.27,5.76,29.33,23.57,1.79,0.95,0.83,85.62,1.76
22,23.3,4.03,28.26,24.23,1.34,0.7,0.63,85.75,11.27
15.11,21.6,5.7,29.49,23.79,1.1,0.35,0.75,74.69,5.92
16.24,22.76,6.31,29.8,23.48,1.44,0.62,0.82,80.25,2.43
18.8,23.51,5.4,29.44,24.05,1.62,0.8,0.82,84.56,5.67
13.25,23.25,4.18,28.38,24.2,1.68,0.8,0.88,85.31,14.29
11.49,22.49,4.58,28.35,23.77,2.33,0.83,1.49,82.81,3.51
17.21,22.72,5.23,29.36,24.14,2.28,0.94,1.34,80.88,0.81
22.01,22.51,4.66,29.73,25.08,1.16,0.21,0.95,76.88,0.2
22.09,23.15,5.61,28.94,23.33,1.7,0.87,0.84,84.19,0.48
18.88,23.88,5.06,28.71,23.65,1.45,0.72,0.73,88.69,0.69
23.05,23.42,5.42,29.12,23.69,1.77,0.79,0.98,83.69,0.25
22.36,23.35,5.8,29.19,23.38,1.58,0.7,0.88,84.12,1.26
15.03,23.66,5.12,29.01,23.9,1.7,0.89,0.8,85.75,4.68
20.12,24.03,4.52,29.08,24.57,1.89,0.95,0.93,86.69,5.93
20.15,23.9,5.83,29.81,23.98,1.89,1.17,0.72,85.62,0.97
14.25,23.84,4.29,28.44,24.15,2.2,0.98,1.21,87.38,6.89
15.93,23.55,4.55,29.28,24.73,1.72,0.24,1.48,83.06,10.15
19.51,23.51,3.69,29.13,25.44,1.07,0.59,0.48,82,1.87
22.33,23.67,6.15,30.27,24.12,1.34,0.48,0.86,83.31,1.76
9.88,24.04,3.59,28.81,25.22,1.46,0.32,1.14,85.62,9.01
20.27,23.51,4.67,29.52,24.85,0.82,0.22,0.6,82.25,3.7
20.75,23.77,5.12,29.37,24.24,1.33,0.38,0.94,84.31,5.75
11.58,23.91,4.05,28.64,24.58,1.91,0.67,1.24,87.75,4.88
15.06,22.9,4.19,28.53,24.34,0.84,0.05,0.8,82,12.85
17.35,23.49,5.22,29.82,24.6,1.65,0.09,1.55,83.5,26.18
13.17,23.77,3.57,27.44,23.87,1.79,0.56,1.22,90.56,12.79
15.87,22.67,6.36,29.6,23.24,1.74,0.54,1.2,81.81,7.39
20.88,22.76,4.27,28.53,24.26,1.72,0.19,1.53,82.5,1.87
15.44,23,4.85,28.61,23.76,1.73,0.34,1.39,84.38,2.21
23.73,22.72,6.88,30.08,23.2,1.58,0.7,0.88,80.25,0.41
21.77,22.87,5.4,30,24.59,1.91,0.14,1.77,79.19,0.94
22.87,23.03,5.12,29.94,24.82,1.55,0.41,1.13,79,0.39
21.16,23.16,4.52,29.05,24.52,1.39,0.11,1.28,81.31,1.08
16.64,23.16,3.92,28.73,24.8,1.83,0.27,1.56,82.44,4.77
12.76,23.07,3.09,27.29,24.21,1.4,0.79,0.61,85.81,5.08
17.24,22.49,5.62,29.12,23.49,1.84,0.34,1.51,81.62,7.66
19.48,22.51,5.35,29.76,24.4,1.36,0.15,1.22,78.56,2.46
18.76,23.08,4.83,29.27,24.44,1.62,0.4,1.22,81.19,1.34
23.54,23.01,5.58,29.76,24.19,2.02,0.54,1.48,79.81,0.19
22.15,22.69,6.07,29.76,23.69,2.02,0.96,1.05,79.5,0.02
21.9,22.79,6.56,30.15,23.59,1.73,1.02,0.72,80.12,0.16
20.59,23.19,5.04,29.31,24.27,2.08,0.83,1.25,82.44,0.21
16.25,22.67,5.45,29.69,24.25,1.77,0.3,1.48,79.94,1.34
15.43,23.73,3.93,28.65,24.72,2.33,0.96,1.37,85.19,5.95
22.54,23.74,6.76,30.58,23.83,1.89,0.88,1.02,83.69,2.11
18.07,23.91,5.01,29.88,24.87,1.74,0.47,1.27,83.06,7.92
17.03,23.51,3.94,28.94,25,0.9,0.5,0.4,82.31,3.37
16.57,24.01,3.23,28.33,25.1,1.59,0.52,1.07,87.25,7.81
11.54,24,2.47,26.84,24.37,3.29,1.08,2.21,91.69,47.89
16.39,23.21,2.7,27.2,24.5,2.08,0.52,1.56,86.44,15.45
21.66,22.55,5.06,29.14,24.08,1.73,0.51,1.22,80.56,0.39
22.11,23.15,6.08,29.38,23.3,1.69,0.73,0.95,84.44,0.49
18.47,22.93,5.28,29.98,24.7,1.38,0.08,1.3,79.94,0.27
20.19,23.19,5.67,29.96,24.29,1.25,0.78,0.46,81.06,1.18
18.93,23.57,5.54,29.52,23.98,1.55,0.85,0.7,84.94,4.31
21.99,23.76,5.22,29.07,23.85,1.57,0.8,0.77,87.44,3.87
23.5,23.29,6.67,30.38,23.7,1.23,0.89,0.34,82.88,8.53
21.89,23.14,5.15,29.49,24.34,1.29,0.44,0.85,81.75,7.61
22.27,23,4.86,29.28,24.42,1.27,0.49,0.77,80.69,4.08
16.69,22.9,3.79,28.66,24.87,1.77,0.41,1.37,81.81,6.29
14.84,22.96,5.27,29.06,23.8,1.7,0.64,1.05,84.06,7.59
9.6,22.95,3.39,27.12,23.73,3.04,0.59,2.45,88.06,21.55
21.83,22.75,3.96,27.92,23.95,1.44,0.09,1.35,83.56,7.39
19.42,23.07,3.52,28.07,24.55,1.6,0.8,0.8,84.12,9.74
11.96,23.4,4.72,28.41,23.69,2.52,0.88,1.64,87.19,17.91
12.7,23.37,4.92,29.03,24.11,1.78,0.98,0.8,85.88,8.74
18.25,22.76,5.75,29.62,23.87,1.31,0.8,0.51,81.25,2.98
16.86,23.26,4.2,28.15,23.95,1.3,0.62,0.69,86.25,2.42
15,22.97,3.73,27.75,24.01,1.9,0.49,1.41,86.19,10.12
21.09,22.94,5.13,28.55,23.4,2.03,0.8,1.23,85.69,5.18
11.62,22.73,5.02,28.66,23.65,1.37,0.81,0.55,84.12,10.59
12.34,23.1,4.47,28.45,23.98,2.26,0.88,1.38,85.94,13.42
13.22,23.33,3.57,27.27,23.71,2.26,0.89,1.36,90,13.38
7.39,23.2,3.59,27.44,23.85,2.35,0.19,2.16,88.25,14.46
19.13,22.82,6.21,29.85,23.63,1.77,0.34,1.44,81.94,17.45
12.15,22.28,5.23,28.5,23.26,1.68,0.43,1.25,83.94,9.19
19.26,22.21,7.03,30.26,23.23,1.23,0.13,1.09,78.44,2.04
20.79,23.02,6.27,30.17,23.9,1.43,0.55,0.88,80.81,3.12
12.53,22.76,5.47,29.48,24.01,2.1,0.23,1.87,80.38,4.03
12.36,22.73,5.21,29.3,24.08,1.9,0.16,1.74,82.06,7.63
22.31,23.33,3.55,27.94,24.39,1.76,0.43,1.33,86.31,2.58
20.31,23.22,5.55,29.61,24.05,1.97,0.12,1.85,83.12,2.28
15.65,23.23,4.49,29.06,24.58,1.39,0.4,0.98,83,2.55
19.09,23.27,5.79,30.24,24.44,1.98,0.04,1.94,82.31,1.22
21.08,23.12,5.66,30.08,24.42,1.41,0.62,0.79,81.69,3.12
16.28,23.04,3.58,28.04,24.46,1.26,0.34,0.92,84.12,4.83
20.85,22.78,7.02,30.86,23.83,1.76,0.46,1.3,79.19,0.48
19.54,22.83,7.56,31.48,23.91,1.57,0.23,1.34,78.5,3.15
16.33,24.09,3.06,27.85,24.79,1.79,0.45,1.33,88.94,10.05
13.23,24.4,3.78,28.68,24.9,1.92,0.87,1.05,90.44,11.04
19.81,23.76,4.34,28.99,24.65,1.78,0.53,1.24,85.62,6.05
13.47,23.44,2.14,26.1,23.97,1.83,0.73,1.09,90.5,21.2
18.06,23.09,6.59,30.03,23.44,0.79,0.05,0.74,82.38,11.92
15.8,23.61,5.35,29.78,24.43,1.14,0.13,1.01,84.19,20.57
16.14,24.03,2.3,26.76,24.46,1.62,0.08,1.55,92.5,20.86
17.39,23.5,5.53,29.55,24.02,1.05,0.43,0.62,86.31,14.12
19.05,23.09,7.15,30.64,23.48,1.19,0.23,0.96,82,34.21
19.57,22.81,6.69,30.82,24.13,0.95,0.24,0.7,78.38,9.09
14.19,23.08,5.94,29.8,23.87,1.32,0.16,1.16,81,4.38
10.97,23.05,4.46,28.46,24,1.48,0.12,1.37,84.75,7.43
19.52,23.33,2.77,26.73,23.95,2.03,0.4,1.64,90.19,17.78
14.74,22.81,4.83,28.71,23.88,0.88,0.31,0.56,83.25,8.47
15.87,23.35,5.22,29.44,24.23,1.95,0.16,1.78,85.38,7.43
18.14,23.4,3.42,27.4,23.97,1.42,0.76,0.66,89.81,7.74
19.71,22.75,5.22,29.09,23.87,1.77,0.23,1.54,82.88,2.71
12.08,23,3.73,27.5,23.76,2.16,0.95,1.2,88,10.8
14,22.66,3.88,27.26,23.39,2.3,0.59,1.71,86.62,7.66
16.47,22.62,5,28.89,23.89,2.15,0.46,1.7,82.81,6.09
20.52,22.59,4.93,28.73,23.8,0.98,0.25,0.73,81.12,7.36
22.79,23.15,4.73,29.5,24.76,1.52,0.23,1.3,81.31,6.81
16.34,23.91,3.15,27.66,24.51,1.62,0.87,0.76,89.94,16.15
16.88,23.05,4.65,28.45,23.8,1.57,0.91,0.66,86.75,17.4
21.88,22.9,5.66,29.22,23.55,1.95,0.8,1.15,84.81,2.08
18.52,23.33,5.57,29.47,23.9,1.16,0.23,0.93,83.75,6.55
20.46,23.59,5.8,29.73,23.94,1.89,0.21,1.68,84.12,23.73
14.81,23.24,6.15,30.45,24.3,1.27,0.44,0.83,81,13.73
20.56,23.15,7.73,30.83,23.1,1.02,0.66,0.37,81.94,6.39
19.71,23.75,5.58,29.29,23.71,1.76,0.66,1.1,86.62,7.15
16.37,23.16,6.04,29.57,23.53,1.76,0.45,1.3,83.81,1.81
20.31,23.37,8.22,30.87,22.65,1.86,0.59,1.27,83.81,6.96
16.35,23.7,6.74,30.36,23.62,1.9,0.28,1.62,86.81,17.67
11.4,23.58,4.26,28.54,24.27,1.29,0.67,0.62,87.25,30.04
17.21,23.33,7.12,30.48,23.36,1.23,0.14,1.1,83.19,8.51
11.48,23.53,5.86,29.33,23.48,1.4,0.47,0.93,86.31,9.54
12.63,23.32,5.26,28.74,23.48,1.92,0.91,1.02,86.38,5.24
13.71,23.44,5.84,28.87,23.03,1.84,0.86,0.98,88.38,7.86
17.48,23.12,5.62,29.47,23.85,1.69,0.03,1.66,82.94,4.74
15.9,24.01,4.3,29.1,24.8,1.77,0.15,1.62,86.25,11.27
18.75,23.88,4.88,29.63,24.75,1.17,0.21,0.96,84.69,10.35
17.72,23.18,5.05,29.12,24.07,1.96,0.12,1.85,84.12,7.22
17.74,23.94,5.52,29.95,24.43,1.83,0.16,1.67,86.38,10.18
17.1,23.99,3.98,28.24,24.26,1.09,0.53,0.55,89.88,6.55
17.43,23.64,4.72,28.54,23.81,1.51,0.49,1.02,88.19,21.06
16.86,23.39,5.7,30.03,24.34,0.73,0.1,0.62,82.88,6.13
17.55,24.11,3.23,27.49,24.26,2.11,0.1,2.01,90.5,17.14
18.82,24.09,4.7,29.78,25.08,1.57,0.5,1.07,84.62,5.15
15.41,23.81,3.88,28.87,24.98,0.94,0.5,0.44,84.69,5.23
16.63,23.7,3,26.94,23.94,1.61,0.7,0.91,90.44,3.13
11.4,23.55,3.37,27.19,23.82,2.48,1.04,1.44,90.12,6.15
15.63,23.8,3.01,27.09,24.08,3.05,0.21,2.84,91.38,23.68
20.9,23.3,5.96,29.33,23.37,1.75,0.55,1.2,86.12,7.84
21.72,22.66,7.77,30.67,22.9,1.55,0.23,1.3,81.62,3.45
17.84,23.33,6.06,30.35,24.29,1.17,0.41,0.76,80.88,12.65
15.98,23.67,3.84,28.33,24.5,1.3,0.77,0.53,86.56,12.3
17.81,23.33,4.45,28.78,24.33,1.22,0.73,0.48,84.44,2.64
17.82,23.48,5.77,30.02,24.26,1.3,0.26,1.05,83.19,1.92
18.43,23.7,5.35,29.44,24.09,1.46,0.06,1.4,85.56,8.7
14.24,23.71,6.2,30.1,23.9,1.59,0.24,1.34,84.38,13.07
20.22,23.64,6.05,30.09,24.05,1.7,0.59,1.1,83.88,10.28
